bedrooms,bathrooms_group,log_sqft_living,log_lot,sqft_basement_cat,waterfront,view,condition,grade_categ,lat,long,zona,yr_renovated_catg,price_categ1
3,0,3.0293837776852097,3.681241237375587,1,0,0,3,1,47.5187,-122.377,1,0,B1
3,0,3.1271047983648077,4.8034366295764785,0,0,0,4,1,47.4379,-122.011,1,0,B1
3,0,3.271841606536499,3.697578033651113,1,0,0,3,1,47.5771,-122.391,2,0,B1
3,0,3.1522883443830563,3.61066016308988,0,0,0,5,1,47.6801,-122.348,2,0,C1
3,1,3.741151598851785,4.544068044350276,1,0,4,3,2,47.7296,-122.37,2,0,C1
3,1,3.3384564936046046,3.740046724051494,0,0,0,3,1,47.5723,-122.007,2,0,B1
2,0,3,3.694605198933569,1,0,0,3,1,47.5671,-122.394,2,0,B1
6,1,3.4183012913197452,3.6384892569546374,1,0,0,3,1,47.678,-122.373,2,0,C1
4,0,3.2764618041732443,4.6390878710837375,0,0,0,4,1,47.3267,-122.166,1,0,B1
3,1,3.3483048630481607,4.112873001840459,0,0,0,3,1,47.6271,-122.197,2,0,C1
3,0,3.278753600952829,3.6989700043360187,1,0,0,4,1,47.5677,-122.363,1,0,B1
3,1,3.290034611362518,4.267945725740318,0,0,0,3,1,47.5647,-121.903,1,0,B1
4,1,3.8048206787211623,4.947992161466088,0,0,0,3,2,47.5592,-122.015,2,0,C1
3,0,3.2430380486862944,3.846337112129805,0,0,0,3,1,47.3264,-122.038,1,1,B1
2,0,3.1583624920952498,3.8925398046586355,1,0,0,4,1,47.7431,-122.336,1,0,B1
2,0,3.0969100130080562,3.4608978427565478,1,0,0,4,1,47.6795,-122.353,2,0,B1
3,1,3.5428254269591797,3.6532125137753435,1,0,0,3,1,47.6394,-122.321,2,0,C1
4,1,3.6053050461411096,5.702421057692679,0,0,0,3,2,47.4807,-121.795,1,0,C1
3,0,3.2380461031287955,3.8314858392486575,0,0,0,4,1,47.6462,-122.403,2,0,C1
5,1,3.4082399653118496,3.749581734865559,1,0,2,3,1,47.6416,-122.355,2,0,C1
2,0,3.1072099696478683,4.572557960872166,0,0,0,4,1,47.2631,-122.019,1,0,B1
3,0,3.3364597338485296,4.866972215920721,0,0,0,3,1,47.2881,-122.086,1,0,B1
3,0,3.1072099696478683,3.5877109650189114,1,0,0,3,1,47.6163,-122.294,2,0,B1
5,0,3.330413773349191,4.081275279529334,0,0,0,4,1,47.3167,-122.214,1,0,B1
2,0,3.113943352306837,3.828079590556746,0,0,0,3,1,47.5697,-122.395,2,0,B1
4,1,3.3820170425748683,3.7781512503836434,1,0,0,5,1,47.6707,-122.399,2,0,C1
2,0,2.8573324964312685,3.69196510276736,0,0,0,3,1,47.5352,-122.371,1,0,B1
3,0,3.367355921026019,4.172953027546354,1,0,0,3,1,47.6267,-122.046,2,0,B1
3,0,3.0170333392987803,3.8744818176994666,0,0,0,3,1,47.7137,-122.213,1,0,B1
4,1,3.444044795918076,3.8040712488856614,1,0,0,3,1,47.7284,-122.216,1,0,B1
4,1,3.4456042032735974,4.634386572747978,0,0,0,4,1,47.7759,-122.08,2,0,C1
4,1,3.387389826338729,3.87453979707101,0,0,0,4,2,47.561,-122.019,2,0,C1
6,1,3.5514499979728753,3.6324572921847245,1,0,0,4,1,47.5282,-122.269,1,0,B1
4,1,3.247973266361807,4.520247652686888,1,0,0,4,1,47.4413,-122.151,1,0,B1
4,0,3.214843848047698,3.7996850909091004,0,0,0,5,1,47.5563,-122.28,1,0,B1
3,1,3.12057393120585,3.3944516808262164,0,0,0,3,1,47.536,-122.284,1,0,B1
2,0,3.2764618041732443,3.716170347859854,0,0,0,4,1,47.6786,-122.379,2,0,B1
4,1,3.305351369446624,3.5563025007672873,0,0,0,3,1,47.3535,-122.017,1,0,B1
3,0,3.494154594018443,4.625795874712833,1,0,0,4,1,47.3925,-122.137,1,0,B1
4,1,3.3283796034387376,3.924795995797912,0,0,0,4,1,47.5589,-122.128,2,0,C1
3,1,3.3344537511509307,4.568201724066995,1,0,0,4,1,47.7297,-122.139,2,0,B1
3,0,3.0253058652647704,4.718269117131362,0,0,0,3,1,47.36,-122.178,1,0,B1
4,0,3.1367205671564067,3.8978469315795716,1,0,0,3,1,47.3344,-122.28,1,0,B1
3,0,3.1958996524092336,3.8750612633917,1,0,1,3,1,47.4999,-122.368,1,0,B1
4,1,3.513217600067939,3.6989700043360187,1,0,0,5,1,47.6598,-122.273,2,0,C1
3,1,3.1583624920952498,3.3979400086720375,0,0,0,3,1,47.5123,-122.358,1,0,B1
3,0,3.2013971243204513,3.8819549713396007,1,0,0,4,1,47.3655,-122.048,1,0,B1
3,0,3.0827853703164503,3.9838517189914717,0,0,0,4,1,47.7382,-121.98,1,0,B1
4,1,3.663700925389648,4.096910013008056,0,0,2,3,2,47.6508,-122.203,2,0,C1
5,1,3.3783979009481375,3.798097932062486,1,0,0,4,1,47.5149,-122.263,1,0,B1
3,1,3.2671717284030137,3.94546858513182,0,0,0,4,1,47.1928,-122.01,1,0,B1
3,0,3.0969100130080562,3.8987251815894934,0,0,0,4,1,47.4853,-122.126,1,0,B1
4,1,3.550839605065785,3.8172347304254983,0,0,0,3,1,47.6847,-122.017,2,0,C1
3,0,3.012837224705172,3.992730203954143,0,0,0,3,1,47.7676,-122.164,2,0,B1
2,0,3.1931245983544616,3.505149978319906,1,0,0,5,1,47.6419,-122.394,2,0,B1
3,0,3.230448921378274,3.906712056942964,1,0,0,3,1,47.7384,-122.324,1,0,B1
3,0,3.0863598306747484,3.871981353843369,0,0,0,4,1,47.6886,-122.211,2,0,C1
3,1,3.367355921026019,3.288696260590256,1,0,0,3,1,47.5446,-122.016,2,0,C1
2,0,2.8692317197309762,3.835056101720116,0,0,0,3,1,47.5168,-122.373,1,0,B1
4,1,3.294466226161593,3.7080808104682315,0,0,0,3,1,47.449,-122.205,1,0,B1
4,1,3.346352974450639,4.076458387712152,1,0,0,3,1,47.6381,-122.205,2,1,C1
4,1,3.303196057420489,3.8573324964312685,1,0,1,4,1,47.5591,-122.267,1,0,C1
3,1,3.214843848047698,3.8825245379548803,1,0,0,4,1,47.3739,-122.29,1,0,B1
2,0,2.90848501887865,3.681241237375587,0,0,0,3,1,47.5232,-122.375,1,0,B1
3,1,3.367355921026019,3.5575072019056577,0,0,0,3,1,47.6022,-122.021,2,0,B1
3,1,3.5327543789924976,3.971275848738105,0,0,0,4,1,47.4497,-122.147,1,0,B1
6,0,3.2648178230095364,3.443106456737266,1,0,0,3,1,47.6041,-122.31,2,0,C1
2,0,3.0530784434834195,3.57978359661681,0,0,0,4,1,47.6862,-122.378,2,0,B1
4,0,3.220108088040055,4.027594211826226,1,0,0,4,1,47.5391,-122.385,2,0,B1
4,1,3.3324384599156054,3.6989700043360187,0,0,0,3,1,47.6962,-122.314,2,0,B1
5,1,3.514547752660286,3.61066016308988,1,0,0,3,1,47.6754,-122.327,2,0,C1
2,0,2.9242792860618816,3.6989700043360187,0,0,0,4,1,47.6803,-122.371,2,0,B1
2,0,3.2528530309798933,3.575187844927661,1,0,0,4,1,47.5926,-122.293,1,0,B1
3,0,3.146128035678238,3.862906213562998,0,0,0,4,1,47.586,-122.12,2,0,B1
5,0,3.3138672203691533,4.037864555774374,1,0,0,4,1,47.7767,-122.365,2,0,B1
